date,metro,upt,year,month,baseline_upt,index_vs_2014_2019_month,index_3mma
2018-06-01,New York,284443400.0,2018,6,291393713.8333333,97.61480309856353,97.09017678927403
2018-07-01,New York,267625203.0,2018,7,279081763.0,95.89490912023514,97.07423573792876
2018-08-01,New York,268513158.0,2018,8,276328701.6666667,97.17164969851937,96.89378730577268
2018-09-01,New York,270916684.0,2018,9,287479949.1666667,94.23846246853755,95.76834042909735
2018-10-01,New York,312513877.0,2018,10,311595245.8333333,100.2948155271785,97.23497589807847
2018-11-01,New York,275293620.0,2018,11,282663080.0,97.39284663564834,97.30870821045478
2018-12-01,New York,262574424.0,2018,12,279565729.8333333,93.92225011146292,97.20330409142991
2019-01-01,New York,255506390.0,2019,1,261675592.16666666,97.64242353840271,96.31917342850466
2019-02-01,New York,243779176.0,2019,2,256123531.0,95.18031203466424,95.5816618948433
2019-03-01,New York,286308116.0,2019,3,297943163.1666667,96.0948769412916,96.30587083811952
2019-04-01,New York,293363837.0,2019,4,289513435.1666667,101.3299561835936,97.5350483865165
2019-05-01,New York,300173023.0,2019,5,301451402.6666667,99.57592512247147,99.00025274911889
2019-06-01,New York,282890439.0,2019,6,291393713.8333333,97.08186057912118,99.32924729506209
2019-07-01,New York,285768728.0,2019,7,279081763.0,102.39605946591357,99.68461505583541
2019-08-01,New York,284759735.0,2019,8,276328701.6666667,103.0510885342282,100.84300285975432
2019-09-01,New York,289195016.0,2019,9,287479949.1666667,100.59658659266668,102.01457819760282
2019-10-01,New York,314619641.0,2019,10,311595245.8333333,100.97061659544202,101.53943057411232
2019-11-01,New York,290744879.0,2019,11,282663080.0,102.8591632837228,101.4754554906105
2019-12-01,New York,288467779.0,2019,12,279565729.8333333,103.18424192120177,102.33800726678885
2020-01-01,New York,287664897.0,2020,1,261675592.16666666,109.93187962933135,105.32509494475198
2020-02-01,New York,280519843.0,2020,2,256123531.0,109.52521305041667,107.54711153364993
2020-03-01,New York,156662095.0,2020,3,297943163.1666667,52.58120150666611,90.67943139547138
2020-04-01,New York,35232623.0,2020,4,289513435.1666667,12.169598616284365,58.09200439112238
2020-05-01,New York,46449054.0,2020,5,301451402.6666667,15.40847167706218,26.719757266670886
2020-06-01,New York,70812942.0,2020,6,291393713.8333333,24.301465212973827,17.29317850210679
2020-07-01,New York,96118226.0,2020,7,279081763.0,34.44088390684274,24.71694026562625
2020-08-01,New York,104458541.0,2020,8,276328701.6666667,37.802276915123926,32.18154201164683
2020-09-01,New York,109936016.0,2020,9,287479949.1666667,38.24128128541741,36.828147369128025
2020-10-01,New York,118795580.0,2020,10,311595245.8333333,38.12496550847301,38.05617456967145
2020-11-01,New York,102699261.0,2020,11,282663080.0,36.332746745701634,37.566331179864015
2020-12-01,New York,104365262.0,2020,12,279565729.8333333,37.331207248548914,37.26297316757452
2021-01-01,New York,99696916.0,2021,1,261675592.16666666,38.09943265037151,37.25446221487402
2021-02-01,New York,91642537.0,2021,2,256123531.0,35.780600338514,37.07041341247814
2021-03-01,New York,119882315.0,2021,3,297943163.1666667,40.23663900384213,38.03889066424255
2021-04-01,New York,121009150.0,2021,4,289513435.1666667,41.797421225145435,39.27155352250052
2021-05-01,New York,134512679.0,2021,5,301451402.6666667,44.621679584201146,42.218579937729565
2021-06-01,New York,154137807.0,2021,6,291393713.8333333,52.8967509189856,46.43861724277739
2021-07-01,New York,153864133.0,2021,7,279081763.0,55.132277847907964,50.88356945036491
2021-08-01,New York,148839466.0,2021,8,276328701.6666667,53.86319448623327,53.96407441770895
2021-09-01,New York,158836724.0,2021,9,287479949.1666667,55.25140951931723,54.748960617819485
2021-10-01,New York,183947524.0,2021,10,311595245.8333333,59.034124063109175,56.049576022886555
2021-11-01,New York,170291897.0,2021,11,282663080.0,60.24553931839984,58.17702430027541
2021-12-01,New York,168334642.0,2021,12,279565729.8333333,60.21290309808533,59.83085549319812
2022-01-01,New York,138892203.0,2022,1,261675592.16666666,53.07801230140588,57.84548490596368
2022-02-01,New York,157033159.0,2022,2,256123531.0,61.31149230485972,58.20080256811698
2022-03-01,New York,186487231.0,2022,3,297943163.1666667,62.591545655196235,58.99368342048728
2022-04-01,New York,187121745.0,2022,4,289513435.1666667,64.63318183913572,62.84540659973055
2022-05-01,New York,191016568.0,2022,5,301451402.6666667,63.36562587211403,63.530117788815325
2022-06-01,New York,196550533.0,2022,6,291393713.8333333,67.4518782215116,65.15022864425379
2022-07-01,New York,180457173.0,2022,7,279081763.0,64.66104092942827,65.15951500768463
2022-08-01,New York,187594098.0,2022,8,276328701.6666667,67.88802497479736,66.66698137524574
2022-09-01,New York,204851548.0,2022,9,287479949.1666667,71.25768200314978,67.93558263579179
2022-10-01,New York,213087189.0,2022,10,311595245.8333333,68.38589222698748,69.1771997349782
2022-11-01,New York,208293636.0,2022,11,282663080.0,73.68972134599255,71.11109852537659
2022-12-01,New York,200291023.0,2022,12,279565729.8333333,71.64362496054365,71.23974617784121
2023-01-01,New York,195232743.0,2023,1,261675592.16666666,74.60869444623333,73.3140135842565
2023-02-01,New York,191864027.0,2023,2,256123531.0,74.91073789701892,73.7210191012653
2023-03-01,New York,227129383.0,2023,3,297943163.1666667,76.23245339345004,75.25062857890076
2023-04-01,New York,207124519.0,2023,4,289513435.1666667,71.54228227120542,74.22849118722479
2023-05-01,New York,236222659.0,2023,5,301451402.6666667,78.36177138681484,75.37883568382343
2023-06-01,New York,217541220.0,2023,6,291393713.8333333,74.65542654925828,74.85316006909284
2023-07-01,New York,198104190.0,2023,7,279081763.0,70.98428355564029,74.6671604972378
2023-08-01,New York,214029095.0,2023,8,276328701.6666667,77.45452922881016,74.36474644456956
2023-09-01,New York,229880033.0,2023,9,287479949.1666667,79.96384918891401,76.13422065778815
2023-10-01,New York,234424064.0,2023,10,311595245.8333333,75.23351756316245,77.55063199362887
2023-11-01,New York,225999702.0,2023,11,282663080.0,79.95373927150303,78.38370200785982
2023-12-01,New York,220358868.0,2023,12,279565729.8333333,78.82184562870769,78.00303415445772
2024-01-01,New York,223207856.0,2024,1,261675592.16666666,85.2994557695829,81.35834688993121
2024-02-01,New York,220963375.0,2024,2,256123531.0,86.27218832150179,83.46449657326413
2024-03-01,New York,243065644.0,2024,3,297943163.1666667,81.58121214012597,84.38428541040355
2024-04-01,New York,241294856.0,2024,4,289513435.1666667,83.34495974637298,83.73278673600025
2024-05-01,New York,257445594.0,2024,5,301451402.6666667,85.40202225719062,83.44273138122985
2024-06-01,New York,234097833.0,2024,6,291393713.8333333,80.33729688962869,83.02809296439743
2024-07-01,New York,224355506.0,2024,7,279081763.0,80.39060080038266,82.0433066490673
2024-08-01,New York,224895892.0,2024,8,276328701.6666667,81.38709104177325,80.70499624392819
2024-09-01,New York,244477239.0,2024,9,287479949.1666667,85.04149235752931,82.27306139989507
2024-10-01,New York,266192189.0,2024,10,311595245.8333333,85.42883518267202,83.95247286065819
2024-11-01,New York,238136764.0,2024,11,282663080.0,84.24756568845142,84.9059644095509
2024-12-01,New York,236996269.0,2024,12,279565729.8333333,84.7730045958381,84.81646848898717
2025-01-01,New York,230567975.0,2025,1,261675592.16666666,88.11214415945467,85.7109048145814
2025-02-01,New York,217998978.0,2025,2,256123531.0,85.11477924298958,85.99997599942746
2025-03-01,New York,250874782.0,2025,3,297943163.1666667,84.20222814767625,85.8097171833735
2025-04-01,New York,253050153.0,2025,4,289513435.1666667,87.4053229530866,85.57411011458414
2025-05-01,New York,262456033.0,2025,5,301451402.6666667,87.06412731149695,86.22389280408659
2025-06-01,New York,246711990.0,2025,6,291393713.8333333,84.66620187321898,86.37855071260084
2025-07-01,New York,239970248.0,2025,7,279081763.0,85.98564285262881,85.90532401244825
2025-08-01,New York,237391378.0,2025,8,276328701.6666667,85.90905561680071,85.52030011421617
2025-09-01,New York,257212356.0,2025,9,287479949.1666667,89.47140722182367,87.12203523041774
2025-10-01,New York,269355232.0,2025,10,311595245.8333333,86.44394791057668,87.27480358306701
2025-11-01,New York,243837226.0,2025,11,282663080.0,86.2642641550499,87.39320642915008
2025-12-01,New York,251872628.0,2025,12,279565729.8333333,90.09424300687967,87.60081835750208
2014-01-01,San Francisco,22496312.0,2014,1,22903547.833333332,98.22195305156762,98.22195305156762
2014-02-01,San Francisco,21212224.0,2014,2,21963628.5,96.57886901519937,97.4004110333835
2014-03-01,San Francisco,23374618.0,2014,3,24281239.333333332,96.2661653267067,97.0223291311579
2014-04-01,San Francisco,24738403.0,2014,4,23845851.666666668,103.7430046358168,98.86267965924095
2014-05-01,San Francisco,24946669.0,2014,5,24513128.666666668,101.76860464948673,100.59259153733676
2014-06-01,San Francisco,24066425.0,2014,6,24057146.0,100.03857066004423,101.8500599817826
2014-07-01,San Francisco,24595287.0,2014,7,24260558.166666668,101.3797243700404,101.06229989319046
2014-08-01,San Francisco,24658708.0,2014,8,25244587.666666668,97.6791870225701,99.69916068421826
2014-09-01,San Francisco,24129030.0,2014,9,23926427.5,100.84677288324804,99.96856142528618
2014-10-01,San Francisco,25591483.0,2014,10,25453416.0,100.54243013982878,99.68946334854898
2014-11-01,San Francisco,21770572.0,2014,11,22976531.666666668,94.75134156816095,98.71351486374591
2014-12-01,San Francisco,22067312.0,2014,12,22628258.333333332,97.52103619699704,97.60493596832892
2015-01-01,San Francisco,22008252.0,2015,1,22903547.833333332,96.0910168160483,96.12113152706877
2015-02-01,San Francisco,20808179.0,2015,2,21963628.5,94.73925949894846,96.1171041706646
2015-03-01,San Francisco,23745035.0,2015,3,24281239.333333332,97.79169289519241,96.20732307006305
